ID or #		Start	End
============================
gene14		15445	16557
gene20		19811	20314
gene21		20233	20508
gene199		223771	225312
gene200		225381	225457
gene201		225500	225575
gene202		225759	228662
gene203		228756	228875
gene204		228928	229004
gene214		236931	237007
gene218		239106	239378
gene254		266553	266774
gene280		290429	290633
gene281		290649	291152
gene282		291071	291346
gene310		315291	315590
gene311		315587	316453
gene561		574737	575753
gene569		580251	580445
gene1042		1094275	1095141
gene1043		1095138	1095437
gene1233		1269168	1269275
gene1234		1269323	1269389
gene1404		1432411	1432986
gene1436		1469241	1469293
gene1437		1467921	1468826
gene1438		1468784	1469149
gene1638		1672820	1673149
gene2139		2167302	2167520
gene3546		3624378	3625514
gene3569		3652182	3653198
gene4049		4166659	4168200
gene4371		4507466	4508617
