ID or #		Start	End
============================
gene7		11344	11417
gene8		11649	11724
gene44		52331	53593
gene49		55438	56880
gene53		59243	59386
gene312		339227	340489
gene528		576575	577582
gene657		714743	715681
gene908		987823	989154
gene1041		1125418	1126686
gene1043		1127367	1128635
gene1185		1283178	1284509
gene1204		1303008	1304261
gene1422		1558163	1559170
gene1423		1559222	1559387
gene1602		1756299	1756502
gene1603		1756663	1758006
gene1611		1763426	1764649
gene2042		2211707	2212930
gene2064		2233432	2233821
gene2089		2253376	2254818
gene2093		2256042	2256425
gene2308		2462585	2463004
gene2309		2463075	2463464
